Which of the following do you think are the most important issues facing the country at this time? Please tick up to three.,2016-07-26,2016-08-02,2016-08-09,2016-08-17,2016-08-23,2016-08-31,2016-09-14,2016-10-12,2016-10-25,2016-11-01,2016-11-15,2016-11-29,2016-12-17,2017-01-10,2017-01-17,2017-01-24,2017-01-31,2017-02-13,2017-02-22,2017-02-28,2017-03-14,2017-03-21,2017-03-27,2017-04-06,2017-04-19,2017-04-26,2017-05-03,2017-05-10,2017-05-17,2017-05-31,2017-06-07,2017-06-22,2017-07-11,2017-08-01,2017-08-31,2017-09-12,2017-10-11,2017-11-28,2017-12-12,2017-12-20,2017-12-21,2018-01-03,2018-01-08,2018-01-16,2018-01-30,2018-02-06,2018-02-13,2018-02-20,2018-02-27,2018-03-06,2018-03-27,2018-04-10,2018-04-17,2018-04-25,2018-05-01,2018-05-09,2018-05-14,2018-05-21,2018-05-29,2018-06-05,2018-06-12,2018-06-19,2018-06-26,2018-07-04,2018-07-09,2018-07-17,2018-07-23,2018-07-31,2018-08-14,2018-08-21,2018-08-29,2018-09-04,2018-09-20,2018-10-01,2018-10-09,2018-10-15,2018-10-23,2018-11-05,2018-11-19,2018-11-27,2018-12-04,2019-01-07,2019-01-14,2019-01-21,2019-02-04,2019-03-07,2019-03-25,2019-04-03,2019-04-11,2019-04-30,2019-05-29,2019-06-06,2019-06-24,2019-07-01,2019-07-08,2019-07-14,2019-07-22,2019-07-29,2019-08-05,2019-08-11,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-06,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-01,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-09,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-03,2020-05-10,2020-05-18,2020-05-25,2020-06-02,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-18,2020-10-26,2020-11-02,2020-11-09,2020-11-15,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-20,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-29,2021-09-06,2021-09-12,2021-09-19,2021-09-26,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-07,2021-11-15,2021-11-22,2021-11-29,2021-12-05,2021-12-13,2021-12-20,2021-12-27,2022-01-02,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-06,2022-02-13,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-20,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-24,2022-05-02,2022-05-08,2022-05-16,2022-05-22,2022-05-29,2022-06-06,2022-06-13,2022-06-19,2022-06-27,2022-07-03,2022-07-11,2022-07-17,2022-07-25,2022-07-31,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-25,2022-10-02,2022-10-09,2022-10-17,2022-10-23,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-01,2023-01-09,2023-01-15,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-26,2023-03-06,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-21,2023-05-28,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-24,2024-01-01,2024-01-07,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-11,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-16,2024-04-22,2024-04-28,2024-05-06,2024-05-13,2024-05-20
Britain leaving the EU,68%,59%,56%,55%,59%,63%,58%,58%,64%,61%,65%,62%,62%,64%,62%,64%,66%,61%,64%,63%,61%,65%,66%,66%,72%,69%,68%,68%,66%,61%,60%,71%,70%,68%,62%,70%,69%,60%,67%,67%,64%,62%,64%,61%,62%,64%,62%,60%,63%,66%,59%,61%,58%,60%,62%,65%,65%,61%,59%,58%,63%,63%,66%,65%,70%,72%,69%,73%,66%,67%,64%,66%,67%,72%,64%,67%,67%,65%,74%,68%,69%,70%,75%,74%,71%,71%,75%,77%,73%,72%,78%,75%,77%,75%,75%,76%,79%,79%,77%,74%,75%,71%,75%,82%,81%,76%,81%,78%,75%,77%,79%,80%,76%,75%,75%,71%,72%,69%,70%,68%,67%,60%,56%,45%,46%,52%,47%,48%,46%,40%,28%,27%,29%,32%,35%,35%,38%,37%,38%,43%,46%,52%,50%,49%,47%,46%,42%,49%,48%,46%,43%,42%,48%,51%,51%,55%,51%,52%,53%,51%,55%,55%,47%,48%,54%,56%,53%,54%,66%,66%,43%,26%,25%,27%,25%,21%,23%,23%,22%,20%,22%,23%,21%,18%,20%,20%,22%,19%,18%,19%,21%,20%,19%,14%,23%,21%,20%,19%,17%,18%,18%,18%,14%,13%,12%,14%,17%,16%,16%,15%,17%,14%,15%,14%,19%,15%,18%,15%,13%,14%,14%,13%,18%,16%,14%,16%,15%,16%,13%,14%,12%,11%,12%,6%,9%,8%,11%,7%,9%,11%,11%,9%,10%,9%,10%,9%,11%,13%,13%,13%,18%,15%,18%,13%,11%,10%,11%,8%,10%,12%,9%,9%,9%,10%,11%,9%,11%,9%,8%,11%,12%,11%,10%,11%,9%,9%,11%,12%,11%,11%,11%,11%,13%,13%,9%,11%,9%,10%,11%,10%,10%,9%,13%,11%,13%,13%,10%,13%,11%,10%,10%,9%,9%,8%,6%,9%,8%,10%,9%,10%,7%,10%,9%,8%,9%,11%,8%,5%,8%,10%,7%,7%,10%,7%,6%,7%,8%,6%,9%,7%,7%,6%,8%,6%,7%,5%,7%,7%,7%,7%,6%,9%,7%,8%,7%,7%
Transport,2%,2%,1%,3%,2%,3%,3%,2%,1%,2%,3%,2%,4%,3%,3%,3%,3%,2%,3%,2%,3%,2%,3%,2%,2%,2%,2%,3%,2%,1%,2%,1%,1%,2%,1%,1%,1%,2%,2%,2%,1%,3%,2%,2%,2%,1%,1%,1%,2%,1%,2%,1%,1%,1%,2%,2%,2%,1%,2%,2%,4%,2%,3%,2%,2%,1%,2%,4%,2%,3%,3%,2%,2%,2%,2%,2%,3%,1%,2%,2%,3%,2%,3%,1%,1%,1%,1%,2%,2%,3%,1%,1%,2%,2%,3%,2%,1%,3%,2%,2%,2%,3%,2%,1%,2%,2%,2%,2%,3%,2%,2%,2%,2%,3%,3%,3%,2%,2%,3%,3%,4%,4%,4%,5%,5%,5%,4%,3%,5%,3%,1%,1%,2%,2%,1%,1%,2%,1%,2%,3%,1%,2%,1%,1%,2%,2%,1%,1%,1%,1%,1%,2%,0%,1%,1%,1%,2%,1%,2%,1%,1%,1%,1%,2%,1%,1%,2%,1%,1%,1%,1%,1%,0%,1%,2%,1%,2%,1%,1%,1%,1%,1%,2%,1%,2%,2%,2%,3%,3%,2%,1%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,4%,4%,5%,10%,6%,6%,5%,5%,2%,5%,3%,2%,2%,2%,4%,2%,2%,3%,3%,3%,2%,2%,2%,2%,2%,2%,2%,3%,2%,4%,3%,4%,2%,2%,1%,2%,2%,3%,2%,3%,5%,4%,6%,2%,3%,3%,3%,4%,3%,3%,3%,2%,3%,3%,1%,1%,3%,2%,1%,2%,1%,2%,3%,3%,2%,4%,5%,3%,4%,6%,4%,3%,3%,3%,3%,3%,2%,4%,4%,1%,1%,3%,4%,3%,3%,3%,4%,3%,2%,4%,3%,3%,3%,2%,3%,1%,2%,3%,2%,2%,3%,3%,3%,2%,3%,4%,3%,3%,3%,2%,3%,3%,2%,2%,4%,3%,3%,5%,4%,4%,3%,3%,4%,3%,2%,4%,3%,2%,2%,3%,3%,2%,2%,4%,1%,3%,2%,2%,1%,4%
Welfare benefits,16%,16%,16%,17%,17%,16%,18%,14%,17%,17%,19%,19%,19%,15%,16%,15%,14%,17%,17%,18%,16%,18%,16%,19%,15%,16%,16%,15%,14%,11%,10%,11%,13%,12%,12%,13%,12%,11%,14%,14%,12%,14%,12%,14%,11%,12%,16%,12%,15%,11%,13%,11%,12%,13%,10%,10%,11%,12%,13%,9%,12%,14%,11%,10%,13%,10%,9%,11%,11%,10%,9%,12%,11%,10%,11%,14%,13%,16%,13%,13%,12%,15%,12%,13%,14%,12%,9%,8%,13%,11%,10%,11%,12%,10%,8%,13%,10%,10%,10%,9%,10%,9%,10%,9%,10%,8%,9%,9%,10%,11%,9%,9%,8%,8%,7%,9%,9%,9%,11%,11%,8%,11%,11%,11%,14%,10%,10%,10%,12%,8%,12%,15%,16%,13%,14%,11%,12%,8%,10%,8%,8%,8%,7%,7%,8%,8%,8%,6%,8%,8%,7%,6%,6%,8%,8%,6%,5%,7%,5%,7%,8%,9%,9%,6%,8%,6%,8%,9%,7%,5%,9%,8%,8%,8%,10%,7%,10%,7%,9%,8%,8%,8%,7%,8%,8%,6%,9%,10%,7%,8%,7%,11%,8%,8%,8%,8%,9%,8%,11%,9%,8%,8%,8%,8%,9%,11%,10%,11%,11%,13%,12%,14%,10%,11%,9%,11%,9%,8%,9%,9%,8%,10%,12%,8%,8%,8%,8%,9%,10%,9%,14%,6%,8%,9%,11%,14%,14%,10%,13%,11%,10%,10%,12%,13%,11%,11%,12%,11%,13%,7%,8%,10%,7%,9%,11%,12%,11%,12%,9%,11%,9%,13%,13%,13%,11%,10%,9%,11%,8%,10%,7%,10%,9%,7%,10%,7%,7%,9%,8%,8%,9%,8%,8%,10%,7%,7%,7%,8%,7%,8%,7%,7%,8%,9%,7%,8%,9%,7%,8%,7%,8%,8%,7%,8%,7%,8%,7%,7%,7%,7%,7%,8%,7%,7%,7%,7%,8%,9%,11%,11%,11%,10%,8%,11%,9%,10%,9%,9%,9%,11%,8%,10%,7%,8%,10%,9%,12%,9%,10%,10%,11%,11%,14%,9%,12%,11%
Defence and security,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,32%,25%,23%,28%,25%,24%,24%,18%,23%,23%,22%,22%,19%,22%,21%,19%,22%,22%,23%,29%,27%,34%,26%,23%,22%,21%,21%,20%,24%,18%,14%,20%,19%,22%,18%,20%,18%,18%,17%,16%,18%,20%,20%,17%,19%,17%,19%,14%,21%,17%,19%,18%,17%,16%,19%,16%,15%,13%,16%,16%,15%,15%,14%,12%,19%,20%,20%,18%,18%,16%,14%,14%,14%,14%,14%,15%,12%,15%,13%,17%,12%,10%,11%,10%,16%,11%,13%,11%,22%,22%,14%,17%,17%,21%,16%,16%,16%,14%,13%,9%,11%,13%,10%,7%,10%,10%,10%,6%,8%,11%,7%,10%,10%,10%,10%,11%,11%,12%,9%,11%,10%,9%,10%,8%,11%,7%,9%,9%,7%,6%,8%,9%,11%,11%,12%,10%,10%,12%,11%,12%,11%,11%,12%,10%,8%,9%,9%,7%,9%,9%,10%,13%,13%,15%,15%,15%,15%,16%,16%,12%,10%,15%,13%,13%,12%,12%,13%,10%,11%,12%,11%,11%,15%,24%,24%,16%,20%,15%,13%,12%,13%,13%,12%,13%,9%,14%,17%,15%,15%,12%,12%,14%,12%,13%,15%,16%,16%,15%,18%,20%,41%,41%,40%,35%,31%,25%,28%,28%,23%,30%,24%,22%,21%,21%,20%,17%,14%,15%,23%,24%,21%,21%,22%,19%,16%,17%,15%,14%,13%,19%,15%,16%,20%,17%,18%,16%,14%,14%,12%,15%,11%,12%,14%,15%,11%,12%,12%,15%,16%,20%,20%,20%,21%,23%,19%,18%,17%,18%,19%,17%,16%,16%,16%,14%,15%,15%,16%,13%,15%,12%,15%,16%,16%,16%,11%,14%,15%,14%,16%,18%,12%,13%,13%,21%,24%,18%,22%,22%,17%,16%,14%,13%,14%,16%,15%,13%,22%,21%,24%,30%,24%,27%,30%,26%,28%,28%,29%,31%,27%,28%,26%,26%,25%,25%,29%
None of these,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,2%,0%,0%,1%,0%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,1%,0%,0%,1%,0%,1%,1%,1%,1%,3%,4%,2%,3%,2%,3%,1%,2%,1%,2%,1%,1%,1%,1%,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,0%,0%,1%,0%,0%,1%,1%,1%,2%,2%,1%,1%,0%,1%,0%,0%,2%,0%,1%,0%,1%,0%,1%,1%,0%,0%,1%,1%,0%,0%,1%,1%,0%,0%,0%,1%,1%,2%,0%,1%,1%,0%,0%,0%,0%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,2%,1%,2%,1%,1%,0%,1%,1%,0%,0%,1%,1%,1%,0%,1%,0%,0%,1%,1%,1%,1%,1%,1%,0%,1%,0%,1%,1%,0%,1%,1%,1%,1%,0%,1%,1%,1%,1%,1%,0%,0%,1%,0%,1%,0%,1%,0%,0%,1%,1%,0%,0%,0%,0%,0%,1%,1%,1%,1%,0%,0%,1%,0%,1%,0%,0%,0%,1%,0%,0%,0%,1%,1%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,1%,1%,0%,1%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
Don't know,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,1%,1%,2%,1%,2%,1%,1%,3%,2%,2%,1%,1%,1%,1%,3%,2%,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,2%,2%,2%,1%,1%,2%,2%,1%,1%,1%,2%,2%,1%,1%,1%,1%,1%,0%,2%,1%,2%,1%,1%,2%,1%,1%,2%,1%,1%,2%,1%,1%,1%,1%,1%,1%,2%,3%,1%,1%,1%,1%,2%,2%,1%,1%,1%,2%,1%,2%,1%,2%,1%,1%,1%,2%,2%,1%,1%,3%,2%,2%,1%,2%,2%,3%,2%,2%,2%,2%,4%,2%,2%,1%,2%,1%,2%,2%,1%,2%,3%,3%,2%,1%,2%,3%,2%,2%,3%,2%,2%,3%,2%,2%,2%,3%,3%,1%,2%,2%,1%,1%,2%,4%,3%,2%,2%,2%,2%,1%,3%,2%,2%,3%,3%,2%,1%,1%,2%,1%,3%,2%,1%,1%,3%,2%,1%,2%,1%,3%,1%,1%,2%,2%,2%,2%,1%,2%,2%,1%,2%,1%,1%,1%,2%,1%,1%,1%,1%,1%,2%,2%,1%,1%,1%,1%,2%,1%,2%,1%,2%,2%,1%,2%,2%,1%,2%,1%,2%,1%,2%,2%,1%,1%,2%,2%,2%,0%,1%,2%,0%,2%,2%,0%,1%,1%,1%,2%,1%,1%,1%,1%,1%,2%,1%,0%,2%,1%,1%,1%,1%,1%,1%,2%,1%,2%,2%,2%,1%,2%,1%,1%,1%,1%,1%,1%,1%,2%,1%,2%,1%,1%,2%,1%,1%,1%
Afghanistan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Defence and Terrorism,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Don't know / None of these,2%,2%,2%,3%,3%,2%,4%,2%,3%,2%,2%,2%,2%,3%,2%,2%,2%,2%,1%,1%,2%,2%,3%,1%,2%,2%,2%,2%,5%,5%,3%,1%,3%,3%,5%,2%,2%,3%,2%,3%,2%,3%,3%,2%,2%,3%,3%,2%,3%,2%,3%,2%,2%,4%,2%,2%,3%,3%,3%,3%,2%,4%,2%,3%,2%,2%,2%,1%,2%,3%,3%,3%,3%,2%,3%,4%,3%,2%,3%,2%,4%,2%,2%,2%,2%,2%,3%,2%,2%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Unweighted base,727,694,695,655,681,712,702,1541,693,682,702,684,715,701,680,708,700,872,881,683,681,662,816,702,724,705,903,634,785,1493,554,689,681,681,651,695,699,652,654,624,654,675,698,705,1398,807,722,672,668,676,660,1382,676,652,661,714,646,676,705,674,705,691,707,688,793,681,702,730,1397,714,670,769,718,691,711,674,743,653,664,703,668,675,652,677,786,747,857,766,773,682,713,681,688,714,668,779,708,680,685,748,667,663,688,674,696,668,674,709,680,699,691,674,672,707,672,679,678,714,689,662,661,715,694,684,689,668,664,677,647,660,648,666,662,632,657,711,646,685,633,729,639,662,681,700,696,681,683,698,662,1352,666,666,677,665,650,676,658,693,677,680,657,675,706,646,641,648,675,642,688,690,672,637,648,639,666,675,663,684,674,614,682,623,640,663,669,757,650,684,653,696,629,664,627,682,698,690,717,699,661,724,732,690,679,675,672,691,697,681,704,697,685,682,711,707,715,672,727,701,661,722,699,680,699,706,705,698,701,656,677,691,683,698,668,696,687,683,690,655,664,680,678,713,654,707,672,662,648,686,704,693,676,659,662,700,683,679,644,691,669,649,680,666,675,660,662,646,633,641,631,675,639,686,661,656,653,644,646,645,685,641,635,667,637,639,618,645,632,639,647,696,660,637,659,654,640,655,636,668,661,643,615,611,630,581,624,641,633,624,638,618,637,649,644,660,643,651,660,627,623,661,648,586,651,592,619,629,597,633,632,615,631,592,629,647,650,630,646,639,618,643,637,633,624,622,635,602
Base,717,735,722,716,709,720,740,1606,707,691,733,693,717,709,695,702,728,876,880,711,696,695,836,705,737,679,882,603,795,1511,535,713,697,711,708,711,690,673,718,687,694,701,692,697,1417,819,700,705,693,701,699,1405,696,712,674,679,698,709,713,691,699,689,703,701,800,708,705,734,1424,725,711,804,743,686,714,704,769,678,692,719,672,682,698,684,763,742,869,730,759,672,698,683,704,690,686,735,697,705,692,721,701,690,681,692,700,696,700,695,686,698,693,688,692,687,692,683,698,697,695,701,684,704,689,695,697,652,657,652,644,648,647,646,641,643,638,659,655,663,651,662,641,660,653,657,661,649,663,657,654,1317,651,666,659,656,658,646,647,647,654,664,659,666,666,658,657,651,653,656,663,647,666,670,655,645,648,660,660,665,647,644,652,649,649,670,641,710,648,647,655,674,638,658,646,644,709,706,710,710,703,716,704,705,705,693,693,713,707,707,709,714,712,700,701,703,714,714,706,692,693,720,706,701,718,718,717,707,708,706,713,714,706,703,710,707,720,716,705,704,712,711,705,705,717,714,714,714,697,721,713,716,714,715,704,693,697,703,704,712,708,712,713,709,705,702,717,706,698,705,708,716,710,712,704,697,720,704,720,708,709,689,700,706,701,702,701,710,712,712,704,704,703,712,718,714,715,708,706,704,715,697,695,685,691,693,692,683,693,693,698,686,697,704,699,697,695,691,708,695,697,692,700,689,697,689,695,697,697,693,697,697,689,697,707,701,696,700,706,701,707,707,706,700,684,704,710,700
