Which of the following do you think are the most important issues facing the country at this time? Please tick up to three.,2016-07-26,2016-08-02,2016-08-09,2016-08-17,2016-08-23,2016-08-31,2016-09-14,2016-10-12,2016-10-25,2016-11-01,2016-11-15,2016-11-29,2016-12-17,2017-01-10,2017-01-17,2017-01-24,2017-01-31,2017-02-13,2017-02-22,2017-02-28,2017-03-14,2017-03-21,2017-03-27,2017-04-06,2017-04-19,2017-04-26,2017-05-03,2017-05-10,2017-05-17,2017-05-31,2017-06-07,2017-06-22,2017-07-11,2017-08-01,2017-08-31,2017-09-12,2017-10-11,2017-11-28,2017-12-12,2017-12-20,2017-12-21,2018-01-03,2018-01-08,2018-01-16,2018-01-30,2018-02-06,2018-02-13,2018-02-20,2018-02-27,2018-03-06,2018-03-27,2018-04-10,2018-04-17,2018-04-25,2018-05-01,2018-05-09,2018-05-14,2018-05-21,2018-05-29,2018-06-05,2018-06-12,2018-06-19,2018-06-26,2018-07-04,2018-07-09,2018-07-17,2018-07-23,2018-07-31,2018-08-14,2018-08-21,2018-08-29,2018-09-04,2018-09-20,2018-10-01,2018-10-09,2018-10-15,2018-10-23,2018-11-05,2018-11-19,2018-11-27,2018-12-04,2019-01-07,2019-01-14,2019-01-21,2019-02-04,2019-03-07,2019-03-25,2019-04-03,2019-04-11,2019-04-30,2019-05-29,2019-06-06,2019-06-24,2019-07-01,2019-07-08,2019-07-14,2019-07-22,2019-07-29,2019-08-05,2019-08-11,2019-08-19,2019-08-26,2019-09-02,2019-09-09,2019-09-16,2019-09-23,2019-09-30,2019-10-06,2019-10-14,2019-10-21,2019-10-28,2019-11-04,2019-11-11,2019-11-18,2019-11-25,2019-12-01,2019-12-16,2019-12-23,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-09,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-03,2020-05-10,2020-05-18,2020-05-25,2020-06-02,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-18,2020-10-26,2020-11-02,2020-11-09,2020-11-15,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-20,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-29,2021-09-06,2021-09-12,2021-09-19,2021-09-26,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-07,2021-11-15,2021-11-22,2021-11-29,2021-12-05,2021-12-13,2021-12-20,2021-12-27,2022-01-02,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-06,2022-02-13,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-20,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-24,2022-05-02,2022-05-08,2022-05-16,2022-05-22,2022-05-29,2022-06-06,2022-06-13,2022-06-19,2022-06-27,2022-07-03,2022-07-11,2022-07-17,2022-07-25,2022-07-31,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-25,2022-10-02,2022-10-09,2022-10-17,2022-10-23,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-01,2023-01-09,2023-01-15,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-26,2023-03-06,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-21,2023-05-28,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-24,2024-01-01,2024-01-07,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-11,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01,2024-04-08,2024-04-16,2024-04-22,2024-04-28,2024-05-06,2024-05-13,2024-05-20
Britain leaving the EU,72%,68%,62%,67%,61%,60%,65%,64%,73%,73%,69%,66%,67%,68%,66%,68%,73%,66%,66%,69%,70%,67%,69%,69%,74%,68%,68%,68%,67%,61%,57%,64%,66%,71%,68%,70%,70%,63%,68%,71%,54%,65%,66%,56%,61%,63%,68%,67%,63%,62%,61%,64%,63%,66%,68%,63%,65%,61%,65%,67%,65%,64%,69%,69%,67%,71%,71%,74%,69%,69%,73%,72%,72%,75%,73%,71%,72%,68%,73%,70%,72%,71%,77%,73%,76%,74%,74%,75%,64%,64%,64%,64%,69%,66%,68%,74%,68%,70%,73%,73%,71%,70%,77%,73%,78%,70%,75%,70%,72%,68%,67%,61%,64%,61%,56%,60%,56%,61%,60%,58%,60%,61%,57%,49%,52%,51%,49%,53%,49%,40%,27%,27%,30%,28%,31%,31%,30%,30%,31%,31%,43%,47%,48%,44%,47%,47%,44%,50%,53%,53%,47%,45%,49%,52%,52%,55%,59%,53%,55%,54%,59%,55%,55%,54%,55%,60%,57%,59%,69%,67%,50%,45%,44%,47%,44%,38%,42%,38%,39%,41%,38%,41%,38%,38%,37%,42%,41%,34%,33%,30%,31%,35%,32%,32%,34%,37%,39%,38%,36%,35%,35%,37%,37%,38%,37%,40%,36%,37%,38%,41%,43%,41%,39%,41%,42%,41%,42%,40%,38%,37%,36%,36%,39%,39%,38%,35%,32%,32%,34%,34%,34%,30%,32%,33%,31%,26%,27%,27%,26%,29%,24%,31%,32%,29%,33%,31%,29%,31%,35%,36%,31%,29%,30%,31%,27%,29%,29%,30%,30%,25%,28%,24%,25%,25%,30%,30%,31%,29%,28%,30%,29%,25%,33%,28%,30%,29%,26%,29%,28%,28%,31%,30%,31%,30%,28%,26%,27%,29%,29%,29%,27%,30%,27%,33%,29%,30%,29%,30%,31%,29%,30%,29%,26%,29%,28%,25%,28%,27%,26%,30%,26%,28%,23%,24%,21%,27%,24%,24%,22%,23%,24%,23%,22%,23%,22%,20%,22%,20%,22%,22%,24%,20%,21%,20%,23%,22%,22%,22%,19%,22%,23%,24%,23%,23%,23%,24%
Transport,1%,3%,2%,5%,3%,2%,4%,2%,2%,3%,3%,4%,3%,4%,3%,5%,3%,2%,3%,4%,3%,4%,3%,4%,2%,4%,1%,2%,3%,2%,1%,2%,2%,2%,4%,2%,2%,1%,3%,1%,4%,5%,4%,3%,3%,3%,3%,1%,4%,3%,3%,2%,3%,1%,2%,2%,2%,3%,2%,5%,4%,5%,4%,3%,3%,4%,2%,4%,3%,5%,3%,3%,3%,4%,3%,2%,3%,3%,2%,2%,3%,3%,3%,3%,2%,3%,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%,2%,2%,3%,2%,2%,3%,2%,3%,2%,2%,3%,2%,3%,3%,3%,3%,2%,4%,3%,4%,5%,3%,3%,5%,7%,6%,4%,5%,4%,4%,4%,2%,2%,2%,2%,1%,2%,2%,2%,3%,3%,3%,2%,1%,1%,2%,2%,2%,1%,1%,2%,2%,1%,2%,2%,2%,1%,2%,1%,2%,2%,1%,1%,1%,1%,1%,2%,1%,2%,1%,1%,1%,2%,2%,1%,1%,2%,2%,1%,1%,2%,1%,1%,2%,2%,1%,2%,3%,4%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,2%,4%,3%,4%,3%,3%,3%,6%,5%,6%,4%,3%,4%,4%,3%,4%,3%,3%,2%,3%,3%,2%,3%,3%,3%,1%,2%,4%,2%,2%,3%,2%,2%,2%,2%,2%,2%,3%,3%,2%,2%,2%,4%,3%,4%,4%,6%,5%,3%,4%,4%,3%,3%,3%,3%,2%,3%,3%,4%,3%,3%,2%,2%,3%,2%,2%,2%,2%,3%,6%,5%,5%,4%,5%,5%,4%,5%,5%,4%,3%,1%,3%,4%,3%,3%,3%,3%,3%,5%,3%,3%,3%,4%,4%,3%,3%,3%,2%,1%,4%,3%,3%,5%,3%,3%,4%,4%,3%,3%,4%,4%,5%,4%,4%,3%,4%,4%,4%,2%,4%,4%,3%,6%,5%,3%,4%,3%,4%,4%,5%,3%,4%,4%,3%,3%,4%,3%,4%,4%,2%,5%,5%,4%,3%
Welfare benefits,9%,11%,13%,10%,16%,14%,11%,10%,12%,15%,14%,16%,14%,11%,13%,13%,12%,12%,10%,14%,13%,12%,17%,16%,13%,14%,14%,14%,14%,12%,10%,11%,13%,11%,12%,11%,13%,12%,15%,18%,13%,14%,12%,16%,12%,13%,12%,11%,11%,15%,13%,11%,11%,11%,9%,12%,13%,9%,11%,10%,12%,12%,11%,13%,11%,11%,11%,9%,10%,11%,12%,10%,10%,9%,12%,12%,17%,16%,16%,15%,14%,14%,17%,13%,14%,13%,12%,11%,10%,13%,12%,11%,13%,13%,11%,12%,11%,10%,12%,9%,9%,10%,8%,9%,9%,11%,10%,12%,10%,10%,9%,12%,9%,10%,13%,12%,13%,15%,12%,12%,12%,11%,13%,12%,16%,13%,12%,13%,11%,11%,17%,21%,19%,16%,16%,15%,13%,14%,11%,12%,11%,9%,6%,9%,8%,8%,9%,9%,9%,9%,12%,9%,6%,7%,10%,8%,7%,9%,6%,7%,8%,10%,9%,12%,8%,9%,8%,9%,6%,10%,11%,8%,8%,11%,13%,9%,13%,11%,9%,9%,12%,12%,7%,9%,8%,8%,7%,9%,9%,9%,8%,10%,9%,8%,9%,7%,10%,8%,11%,10%,9%,11%,11%,8%,12%,11%,11%,12%,11%,15%,13%,18%,12%,10%,10%,12%,12%,11%,10%,10%,10%,11%,14%,7%,12%,11%,12%,14%,11%,11%,11%,13%,12%,10%,12%,17%,15%,13%,14%,12%,13%,12%,13%,17%,13%,14%,12%,10%,12%,11%,10%,9%,9%,10%,9%,12%,12%,10%,11%,11%,11%,13%,13%,13%,13%,11%,9%,12%,10%,9%,10%,9%,9%,10%,9%,9%,9%,8%,7%,6%,9%,10%,6%,9%,10%,9%,7%,8%,7%,8%,8%,8%,7%,7%,7%,7%,6%,7%,5%,6%,6%,5%,6%,7%,8%,8%,8%,8%,7%,9%,6%,6%,7%,7%,9%,7%,7%,6%,8%,12%,9%,8%,8%,7%,7%,8%,8%,9%,8%,7%,6%,9%,8%,8%,6%,7%,7%,7%,8%,7%,7%,9%,8%,9%,8%,10%
Defence and security,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,24%,17%,13%,19%,15%,15%,13%,12%,11%,12%,11%,10%,10%,12%,14%,9%,11%,10%,9%,18%,16%,21%,15%,14%,11%,11%,11%,11%,13%,11%,10%,9%,10%,10%,9%,8%,10%,9%,11%,9%,11%,11%,9%,9%,9%,9%,8%,7%,7%,7%,10%,9%,8%,7%,8%,9%,6%,8%,10%,8%,7%,6%,9%,4%,9%,10%,11%,9%,7%,8%,7%,6%,5%,7%,6%,7%,6%,7%,5%,8%,6%,7%,8%,5%,9%,6%,6%,7%,9%,12%,6%,8%,8%,8%,9%,7%,7%,8%,6%,3%,4%,4%,4%,4%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,3%,4%,6%,6%,5%,3%,4%,4%,3%,4%,3%,3%,4%,3%,3%,3%,3%,3%,5%,5%,4%,3%,4%,2%,3%,4%,4%,4%,2%,2%,4%,5%,2%,2%,4%,6%,5%,6%,5%,4%,4%,5%,5%,6%,5%,5%,4%,6%,5%,4%,5%,5%,4%,5%,4%,3%,4%,4%,7%,9%,11%,8%,7%,6%,4%,4%,5%,6%,5%,4%,5%,3%,5%,5%,6%,4%,5%,5%,5%,4%,6%,5%,7%,6%,7%,7%,28%,28%,27%,21%,18%,14%,13%,15%,14%,18%,13%,11%,12%,9%,8%,7%,8%,6%,11%,11%,10%,9%,9%,10%,9%,8%,7%,7%,7%,9%,8%,8%,9%,9%,9%,6%,6%,8%,6%,7%,6%,5%,7%,6%,4%,6%,5%,7%,7%,9%,9%,11%,9%,9%,9%,8%,8%,8%,11%,7%,8%,9%,9%,8%,6%,9%,7%,8%,7%,6%,5%,8%,7%,5%,8%,5%,5%,9%,7%,8%,7%,5%,5%,9%,8%,9%,8%,8%,8%,5%,5%,8%,7%,8%,7%,8%,9%,12%,17%,14%,11%,11%,12%,12%,14%,15%,13%,17%,13%,17%,16%,18%,12%,12%,12%
None of these,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,1%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,2%,3%,2%,2%,2%,1%,2%,1%,1%,1%,1%,1%,1%,0%,1%,1%,1%,2%,1%,1%,1%,0%,1%,0%,1%,0%,1%,0%,0%,1%,1%,0%,1%,0%,1%,0%,1%,1%,0%,0%,1%,0%,1%,1%,0%,1%,1%,1%,0%,1%,1%,0%,0%,0%,0%,1%,1%,1%,1%,1%,2%,0%,0%,0%,1%,1%,0%,0%,0%,1%,0%,1%,1%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,1%,0%,0%,1%,1%,1%,1%,1%,1%,0%,1%,1%,0%,1%,1%,0%,0%,0%,0%,1%,1%,0%,1%,0%,1%,0%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,1%,0%,0%,0%,0%,1%,1%,1%,0%,2%,1%,1%,0%,0%,1%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,0%,0%,1%,1%,1%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%
Don't know,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,2%,1%,2%,2%,2%,1%,2%,2%,1%,2%,3%,2%,2%,2%,3%,4%,3%,2%,3%,2%,2%,2%,2%,2%,2%,2%,3%,1%,3%,3%,2%,3%,4%,3%,2%,2%,2%,1%,2%,1%,2%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,3%,3%,2%,3%,1%,2%,3%,3%,0%,2%,3%,3%,2%,2%,3%,5%,4%,3%,3%,3%,1%,4%,4%,2%,2%,2%,1%,3%,2%,1%,2%,1%,2%,3%,2%,2%,3%,2%,2%,2%,2%,4%,2%,3%,3%,1%,2%,1%,3%,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%,3%,2%,2%,4%,2%,3%,2%,3%,3%,1%,2%,2%,2%,2%,2%,2%,2%,2%,1%,2%,2%,1%,2%,2%,2%,2%,3%,2%,3%,3%,1%,2%,1%,2%,2%,1%,2%,2%,2%,1%,2%,1%,1%,1%,2%,1%,1%,1%,1%,1%,1%,2%,2%,1%,1%,2%,1%,2%,2%,1%,1%,2%,2%,1%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,1%,3%,2%,1%,1%,2%,2%,2%,1%,2%,2%,2%,1%,1%,2%,1%,1%,1%,1%,1%,2%,1%,2%,2%,1%,2%,1%,2%,2%,2%,2%,1%,2%,2%,1%,1%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%,0%,1%,1%,1%,1%,0%,1%,1%,2%,1%,1%
Afghanistan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Defence and Terrorism,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Don't know / None of these,3%,3%,3%,3%,3%,3%,3%,3%,2%,1%,2%,3%,4%,4%,2%,3%,2%,4%,3%,3%,2%,3%,2%,2%,3%,2%,3%,1%,2%,3%,4%,3%,2%,2%,2%,3%,3%,5%,2%,4%,3%,4%,2%,2%,3%,2%,4%,3%,4%,4%,2%,4%,1%,2%,3%,3%,2%,4%,3%,2%,2%,3%,2%,4%,4%,2%,3%,3%,4%,2%,2%,2%,3%,4%,3%,5%,2%,3%,2%,3%,4%,3%,3%,3%,3%,2%,4%,1%,3%,4%,4%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Unweighted base,773,817,813,850,806,804,818,1798,781,740,794,747,786,769,742,729,782,930,928,770,773,777,936,749,820,698,918,595,839,1697,561,769,781,762,788,721,743,750,781,780,760,714,694,705,1427,864,662,751,714,744,728,1416,716,775,682,690,758,731,721,711,716,688,682,736,824,726,698,743,1461,736,737,806,778,694,708,719,818,717,748,761,683,731,753,737,796,777,933,739,799,704,716,720,759,717,741,752,721,778,746,739,799,754,730,743,733,765,782,740,752,742,748,748,747,729,747,724,748,719,756,769,749,736,738,742,736,728,750,730,716,725,745,728,711,740,734,704,734,737,763,705,727,745,724,707,734,714,715,708,711,1446,713,758,729,708,765,726,740,691,726,747,777,746,732,767,757,734,706,769,755,714,764,778,763,758,717,751,759,750,718,751,727,735,736,775,717,755,742,720,732,750,747,745,760,694,745,722,731,739,747,722,685,733,733,721,709,739,734,762,721,734,771,735,709,728,727,760,723,709,726,764,739,756,757,757,728,725,726,783,785,757,751,735,753,722,750,755,716,745,761,734,744,694,776,702,750,772,750,748,725,743,726,764,754,691,720,741,758,727,741,763,755,738,745,717,768,742,736,747,788,760,752,713,739,720,780,723,756,753,706,731,735,725,748,754,750,757,766,761,725,702,713,754,787,775,769,745,767,722,733,732,745,730,713,756,741,715,739,732,744,750,752,731,736,724,715,681,748,713,737,704,706,742,698,733,737,699,738,711,716,732,694,734,724,704,713,722,717,698,719,717,715,702,693,728,710,728
Base,660,677,665,659,652,663,681,1478,650,628,675,638,660,652,639,646,670,806,810,655,641,639,769,649,679,625,812,555,731,1390,492,656,653,654,652,655,637,619,661,633,639,645,637,641,1304,753,644,648,637,645,643,1288,641,656,631,634,642,652,656,636,644,640,647,645,725,651,648,675,1311,667,654,740,683,632,657,648,708,627,640,665,622,638,652,639,713,693,812,682,710,628,653,638,658,645,641,686,651,659,646,674,655,644,637,647,654,650,655,649,641,652,648,643,646,642,646,638,653,651,650,655,639,658,644,649,651,611,615,611,603,607,606,605,601,602,598,617,614,621,610,620,600,618,611,615,619,608,621,615,613,1234,610,624,617,615,616,605,607,606,613,623,618,624,624,616,616,610,612,614,621,606,624,628,614,605,607,618,618,623,606,604,611,608,608,628,600,665,607,607,613,631,597,616,605,603,664,662,665,665,658,671,660,661,661,649,649,668,662,663,664,669,667,656,657,659,669,669,661,649,649,674,661,657,673,672,672,662,664,662,668,669,662,658,665,662,674,670,661,660,667,666,660,661,672,669,669,669,653,675,668,670,669,670,660,650,653,658,660,667,663,667,668,664,660,657,672,662,654,660,663,671,665,667,659,653,675,660,674,663,664,646,656,661,657,657,656,665,667,667,660,660,658,667,672,669,670,664,661,660,670,653,651,642,647,650,648,640,650,649,654,643,653,660,654,653,651,647,663,651,653,648,656,646,653,645,651,653,653,650,653,653,646,653,662,657,652,656,662,657,662,663,661,656,641,659,665,656
